x,y
4.073297741993645582e-01,8.214878790157471578e-01
7.806469855986843953e-01,1.547575848696496115e+00
4.318720573026242349e-01,8.564467550025688380e-01
5.835993643080580329e-01,1.173853822279981252e+00
9.909762984125436436e-01,1.975306955741725323e+00
3.198468279754294041e-01,6.339126160824273271e-01
7.927390748134244269e-01,1.564836949043684866e+00
7.023887855893636845e-01,1.421872383723980615e+00
7.253064582311863351e-01,1.430474201881800633e+00
1.136412242698489061e-01,2.465740584802043611e-01
1.378468270912133198e-01,2.699966778692932667e-01
8.260670501160543022e-01,1.644614571403928416e+00
9.612549017034053289e-01,1.938751366342058580e+00
1.397259982683046742e-01,2.723715532541453044e-01
1.124758768975869794e-01,2.341154520408114670e-01
6.703537040054569074e-01,1.362763684007977094e+00
8.838536639637449843e-01,1.721956082902700302e+00
1.932722314035717481e-02,3.321256014169453319e-02
9.044015679876299396e-01,1.799905834011257033e+00
1.318190590051929734e-01,2.416427484382993318e-01
2.595171646226935858e-01,5.184497648000645498e-01
9.373292795202164962e-01,1.883495613882313124e+00
5.814610859823722278e-01,1.187089906553183694e+00
5.460218685274647044e-01,1.087892461157441648e+00
3.593581167902942797e-01,7.546603550278032646e-01
9.480181487639166571e-01,1.873858505239863970e+00
7.600400382990410986e-01,1.517643872912723069e+00
6.239108283823765477e-01,1.247673992491091566e+00
7.411211704385355370e-01,1.466321801057108409e+00
3.795240523214583606e-01,7.682645780329158125e-01
3.857706193285540541e-01,7.646669496851725700e-01
9.150515713813982543e-01,1.848863780677844737e+00
2.193301042640477538e-01,4.405899301359779696e-01
7.401322116732012013e-01,1.483716090056335313e+00
6.841136248266471709e-01,1.391080664036802306e+00
4.571456479779140158e-01,9.034053560549764050e-01
5.393577627569983157e-01,1.064882804673682681e+00
2.583307374656845790e-01,5.146210370976687098e-01
3.300712929980640364e-01,6.594453851793790067e-01
2.237706293754243569e-01,4.492413978690656395e-01
7.821653833084950547e-01,1.569966867945576050e+00
7.438255968147571284e-01,1.476052124710148350e+00
3.422881628388830810e-01,6.951899455701585628e-01
5.069119885630524180e-01,1.036538338178318197e+00
2.147614500011837402e-01,4.580594924354547404e-01
